_id,label,left_title,right_title,left_authors,right_authors,left_venue,right_venue,left_year,right_year
2752,0,aggregate maintenance for data warehousing in informix red brick vista,efficient view maintenance at data warehouses,"latha s. colby , gopal mulagund , richard l. cole , craig j. bunker , william j. mckenna , david wilhite","d. agrawal , a. el abbadi , a. singh , t. yurek",vldb,international conference on management of data,2001,1997
5407,1,the lham log-structured history data access method,the lham log-structured history data access method,"gerhard weikum , patrick e. o'neil , peter muth , achim pick","peter muth , patrick o'neil , achim pick , gerhard weikum",vldb j.,the vldb journal -- the international journal on very large data bases,2000,2000
206,0,database research at the university of oklahoma,florida international university high performance database research center,"sirirut vanichayobon , leonard brown , ravi a. dirckze , sylvain guinepain , carlos sánchez , le gruenwald , brian summers","naphtali rishe , wei sun , david barton , yi deng , cyril orji , michael alexopoulos , leonardo loureiro , carlos ordonez , mario sanchez , artyom shaposhnikov",sigmod record,acm sigmod record,1999,1995
6899,0,implementation of two semantic query optimization techniques in db2 universal database,opt + + : an object-oriented implementation for extensible database query optimization,"k. bernhard schiefer , fred koo , t. y. cliff leung , linqi liu , jarek gryz , xiaoyan qian , qi cheng","navin kabra , david j. dewitt",vldb,the vldb journal -- the international journal on very large data bases,1999,1999
3326,0,data placement in shared-nothing parallel database systems,automating physical database design in a parallel database,"manish mehta , david j. dewitt","jun rao , chun zhang , nimrod megiddo , guy lohman",vldb j.,international conference on management of data,1997,2002
9070,0,declarative updates of relational databases,querying xml views of relational data,weidong chen,"jayavel shanmugasundaram , jerry kiernan , eugene j. shekita , catalina fan , john funderburk",acm trans . database syst .,very large data bases,1995,2001
6541,0,automation in information extraction and data integration,data integration and warehousing in telecom italia,sunita sarawagi,"stefano m. trisolini , maurizio lenzerini , daniele nardi",vldb,international conference on management of data,2002,1999
8750,0,object-oriented features of db2 client/server,metu object-oriented dbms,hamid pirahesh,"asuman dogac , budak arpinar , cem evrendilek , cetin ozkan , ilker altintas , ilker durusoy , mehmet altinel , tansel okay , yuksel saygin",sigmod conference,international conference on management of data,1994,1994
2121,0,selectivity estimation in extensible databases - a neural network approach,database de-centralization - a practical approach,"shaoyu zhou , m. seetha lakshmi","tor didriksen , c &#233; sar a. galindo-legaria , eirik dahle",vldb,very large data bases,1998,1995
10829,1,rainbow : multi-xquery optimization using materialized xml views,rainbow : multi-xquery optimization using materialized xml views,"brian murphy , elke a. rundensteiner , bradford pielech , maged el-sayed , mukesh mulchandani , luping ding , katica dimitrova , ling wang , xin zhang","xin zhang , katica dimitrova , ling wang , maged el sayed , brian murphy , bradford pielech , mukesh mulchandani , luping ding , elke a. rundensteiner",sigmod conference,international conference on management of data,2003,2003
