_id,label,left_title,right_title,left_authors,right_authors,left_venue,right_venue,left_year,right_year
8069,0,materialized views selection in a multidimensional database,materialized view selection for multidimensional database,"e baralis , s paraboschi , e teniente","a shukla , p deshpande",vldb,"proceedings of 24 international conference on very large & hellip ; ,",1997,
27721,1,evolution of groupware for business applications : a database perspective on lotus domino/notes,evolution of groupware for business applications : a database perspective on lotus domino/notes,"c mohan , r barber , s watts , a somani , m zaharioudakis","c mohan , r barber , s watts , a somani , m",vldb,"proceedings of the international conference on very large & hellip ; ,",2000,2000.0
5970,0,partition based spatial-merge join,on spatially partitioned temporal join,"j patel , d dewitt","h lu , bc ooi , kl tan",sigmod conference,"proceedings of the international conference on very large & hellip ; ,",1996,1994.0
8170,0,advanced xml data processing - guest editor 's introduction,new computers for artificial intelligence processing - guest editor 's introduction,k aberer,bw wah,sigmod record,"ieee computer ,",2001,
1334,0,efficient view maintenance at data warehouses,view maintenance in a warehouse environment,"d agrawal , a abbadi , a singh , t yurek","y zhuge , h garcia-molina , jl wiener",sigmod conference,"acm sigmod int . conf . on management of data ,",1997,
24371,0,the reach active oodbms,the reach active oodbms . 1995,"a buchmann , a deutsch , j zimmermann , m higa","pb alejandro , d alin , z juergen",sigmod conference,technical university,1995,
4213,1,the impact of global clustering on spatial database systems,1994 . the impact of global clustering on spatial database systems,"t brinkhoff , h kriegel","t brinkho , hp kriegel",vldb,proc . 20th int . conf . on very large data,1994,
8241,0,fast image retrieval using color-spatial information,fast signature-based color-spatial image retrieval,"b ooi , k tan , t chua , w hsu","ts chua , kl tan , bc ooi",vldb j.,,1998,
5971,1,view maintenance in a warehousing environment,"viewmaintenanceinawarehousing environment , ''","y zhuge , h garcia-molina , j hammer , j widom","y zhuge , h garcia-molina , j hammer , j widom",sigmod conference,"proc . of acm sigmod int . conf . on management of data ,",1995,
20169,0,editor 's notes,editorsâ ?? notes,j widom,"l yorks , e kasl",sigmod record,"new directions for adult and continuing education ,",1996,2002.0
27955,1,query flocks : a generalization of association-rule mining,query flocks : a generalization of association-rule mining,"s tsur , j ullman , s abiteboul , c clifton , r motwani , s nestorov , a rosenthal","jd ullman , r motwani , s nestorov",sigmod conference,,1998,
1465,0,performance measurements of compressed bitmap indices,the implementation and performance of compressed databases,t johnson,"t westmann , d kossmann , s helmer , g moerkotte",vldb,"sigmod record ,",1999,2000.0
27141,0,views in a large-scale xml repository,views in a large scale xml repository [ c ],"v aguilera , s cluet , t milo , p veltri , d vodislav","c sophie , v pierangelo , v dan",vldb j.,,2002,2001.0
26243,0,the design and implementation of a sequence database system,temporal database system implementations,"p seshadri , m livny , r ramakrishnan",m bã ¶ hlen,vldb,"acm sigmod record ,",1996,1995.0
4245,0,answering queries using views : a survey,answering complex sql queries using summary tables,a halevy,"m zaharioudakis , r cochrane , h pirahesh , g lapis ,",vldb j.,,2001,
5834,1,providing better support for a class of decision support queries,sg and badia . 1996 . providing better support for a class of decision support systems,"s rao , a badia , d gucht",agd rao,sigmod conference,& hellip ; sigmod international conference on management of data ( 1996,1996,
